autobiography,자서전
biography,전기 일대기
biosphere,생물권 생활권
pesticide,"살충제,농약"
suicide,자살
gene,유전자
genuine,진짜의
generate,발생시키다
ingenious,독창적인
malignant,악의에 찬
vital,필수의
vitality,"생명력,활기"
territory,영토
geology,지질학
geography,지리학
astronaut,우주비행사
disaster,재난
astronomy,천문학
astronomical,천문학의
annual,1년의
anniversary,기념일
millennium,천년
temporary,임시의
contemporary,동시대의
chronic,만성의
synchronize,동시에 일어나다
cease,그만두다
exceed,초과하다
proceed,나아가다
precede,앞서가다
precedent,선례
predecessor,전임자
recess,휴식
gradual,점진적인
congress,국회
degrade,강등시키다
progress,"진보,발전"
progressive,진보적인
evade,피하다
invade,침입하다
pervade,널리퍼지다
mobile,이동성의
mobility,이동성의
motive,동기
motivate,동기를 부여하다
commotion,"동요,소동"
promote,승진 시키다. 홍보하다
remove,제거하다
removal,"제거,해임"
convention,집회
conventional,전통적인
intervene,개입하다 중재하다
dismiss,해산시키다
emit,(빛 열) 발산하다
intermission,중간 휴식
submit,제출하다
omit,생략하다
transmit,전달하다
transmission,전송;변속
pedestrain,보행자
expedition,탐험;탐험대
spectacle,장관;광경
spectacular,굉장한
inspect,조사관
inspection,조사관
perspective,관점
prospect,전망
prospective,예상된
vision,전망;시력
visible,볼수 있는
visual,시각의
revise,수정하다
revision,수정;교정
supervise,감독하다
audience,청중
audition,오디션
auditorium,강당
megaphone,메가폰
microphone,마이크
symphony,교향곡
script,대본
describe,묘사하다
description,"서술,설명"
prescribe,처방하다
prescription,처방
subscription,정기구독;기부
telegram,전보
autograph,서명;(유명인사의)사인
manual,안내서
manufacture,제조;생산
manufacturer,제조업자
manipulate,조작하다
dictate,받아쓰게하다;명령하다
dictator,독제자
predict,예언하다;예측하다
contradict,부정하다
addict,중독되다
dedicate,헌정하다
beneficial,유익한;이로운
defect,단점
deficient,부족한
infect,감염시키다
magnificent,"굉장한,멋진"
formal,형식적인
conform,따르다;순응하다
deform,모양을 망치다
reform,다시만들다;개혁
convert,전환하다;개종하다
conversion,전환;개조
adversity,역경;불운
reverse,뒤집다
captivate,마음을 사로잡다
conceive,상상하다
conception,개념
deceive,속이다
perceive,지각하다;인지하다
perception,받다;수령하다
receive,받다;수령하다
receipt,영수증
contain,포함하다
maintain,유지하다
obtain,얻다
sustain,지탱하다
conserve,보존하다
